"SPCD","Shade.tolerance"
923,0
928,0
71,0
72,0
101,0
104,0
121,0
127,0
353,0
920,0
924,0
926,0
755,0
756,0
757,0
758,0
760,0
761,0
765,0
766,0
768,0
769,0
770,0
139,0
140,0
141,0
142,0
62,0
865,0
603,0
604,0
605,0
450,0
138,0
510,0
408,0
60,0
61,0
929,0
134,0
135,0
137,0
100,0
513,0
58,0
378,0
740,0
571,0
512,0
730,0
377,0
400,0
57,0
108,0
600,0
70,0
411,0
59,0
729,0
350,0
732,0
412,0
413,0
921,0.0425
982,0.0425
133,0.0425
143,0.0425
345,0.0425
746,0.0525
743,0.0525
744,0.06
102,0.0625
741,0.0675
747,0.0675
68,0.07
67,0.07
922,0.085
561,0.085
748,0.0875
749,0.0875
902,0.0875
997,0.0875
73,0.0875
114,0.0875
475,0.0875
606,0.0875
681,0.0875
105,0.09
51,0.105
106,0.11
373,0.1125
641,0.1125
128,0.1175
66,0.12
925,0.125
103,0.125
109,0.125
352,0.125
379,0.125
662,0.125
375,0.135
818,0.1375
113,0.14
410,0.14
611,0.1475
552,0.1525
122,0.16
764,0.1675
64,0.1675
130,0.1675
424,0.1675
931,0.17
901,0.18
116,0.185
745,0.19
742,0.19
351,0.2075
65,0.21
546,0.21
110,0.215
601,0.22
125,0.2225
773,0.2325
602,0.2325
927,0.2475
126,0.2475
131,0.2475
132,0.2475
801,0.25
807,0.25
819,0.25
831,0.25
912,0.25
63,0.25
69,0.25
120,0.25
551,0.25
694,0.25
712,0.25
144,0.25
992,0.25
857,0.25
825,0.25
855,0.25
856,0.25
123,0.25
514,0.25
511,0.25
409,0.25
404,0.25
806,0.2675
402,0.2675
621,0.2675
814,0.2725
817,0.2725
136,0.275
221,0.2825
835,0.29
107,0.3025
826,0.305
813,0.31
827,0.31
838,0.31
774,0.3225
752,0.325
452,0.3325
682,0.335
834,0.3375
815,0.35
341,0.36
22,0.3625
753,0.365
762,0.365
541,0.365
830,0.3725
805,0.375
812,0.375
839,0.375
842,0.375
974,0.375
201,0.375
333,0.375
423,0.375
422,0.375
547,0.375
372,0.395
763,0.3975
935,0.3975
5091,0.3975
772,0.415
117,0.415
451,0.4175
403,0.4225
711,0.425
823,0.4275
355,0.4275
837,0.43
936,0.4325
833,0.4375
202,0.445
802,0.4625
832,0.4625
731,0.465
401,0.4875
543,0.49
822,0.4925
119,0.4925
124,0.4925
804,0.495
810,0.5
821,0.5
824,0.5
940,0.5
973,0.5
993,0.5
996,0.5
314,0.5
322,0.5
471,0.5
542,0.5
545,0.5
555,0.5
653,0.5
118,0.5
816,0.5
5092,0.5
5491,0.5
937,0.5
800,0.5
200,0.5
803,0.5
986,0.5
987,0.5
988,0.5
989,0.5
808,0.5
809,0.5
811,0.5
994,0.5
995,0.5
859,0.5
550,0.5
863,0.5
5093,0.5
7211,0.5
8511,0.5
8512,0.5
8514,0.5
8651,0.5
828,0.5
829,0.5
877,0.5
886,0.5
887,0.5
836,0.5
891,0.5
840,0.5
841,0.5
843,0.5
844,0.5
845,0.5
846,0.5
847,0.5
851,0.5
852,0.5
853,0.5
854,0.5
431,0.5
860,0.5
460,0.5
864,0.5
866,0.5
867,0.5
868,0.5
869,0.5
870,0.5
873,0.5
874,0.5
876,0.5
882,0.5
883,0.5
884,0.5
885,0.5
970,0.5
888,0.5
890,0.5
895,0.5
896,0.5
897,0.5
906,0.5
907,0.5
908,0.5
909,0.5
911,0.5
112,0.5
913,0.5
914,0.5
915,0.5
919,0.5
358,0.5
381,0.5
481,0.5
934,0.5
300,0.5
303,0.5
220,0.5
50,0.5
523,0.5
990,0.5
991,0.5
223,0.5
304,0.5
356,0.5
549,0.5
53,0.5
8513,0.5
52,0.5
54,0.5
56,0.5
663,0.5
650,0.5
664,0.5
55,0.5
370,0.5
420,0.5
657,0.5
111,0.5
222,0.5
661,0.5
660,0.5
540,0.5
971,0.5075
651,0.5075
212,0.5125
421,0.515
655,0.515
658,0.515
544,0.5275
581,0.5275
654,0.5275
972,0.535
371,0.5425
462,0.5425
81,0.5525
129,0.5525
977,0.555
374,0.57
975,0.5775
319,0.5775
461,0.5775
463,0.5775
361,0.58
771,0.5825
820,0.585
321,0.5975
407,0.6
316,0.61
241,0.6125
313,0.6175
691,0.6175
334,0.6225
331,0.6225
858,0.625
20,0.625
43,0.625
548,0.625
693,0.63
96,0.635
315,0.64
337,0.64
317,0.65
41,0.6675
631,0.6675
406,0.6775
92,0.69
981,0.71
98,0.7125
367,0.7375
952,0.745
951,0.745
953,0.745
336,0.75
692,0.75
721,0.75
722,0.75
950,0.75
976,0.75
17,0.7525
95,0.77
312,0.785
332,0.785
42,0.7875
94,0.7875
320,0.8
11,0.8025
211,0.8025
521,0.8025
591,0.82
15,0.8325
357,0.8325
97,0.8475
405,0.855
91,0.8625
264,0.87
115,0.875
252,0.875
311,0.875
492,0.875
652,0.875
93,0.8825
391,0.895
701,0.895
242,0.9325
531,0.9375
318,0.94
19,0.9575
18,0.9575
261,0.9575
231,0.965
491,0.9675
263,0.99
12,1
16,1
251,1
501,1
240,1
14,1
21,1
40,1
330,1
310,1
683,1
250,1
690,1
260,1
262,1
500,1
90,1
502,1
505,1
508,1
509,1
323,1
520,1
522,1
360,1
230,1
232,1
680,1
10,1
362,1
580,1
720,1
582,1
583,1
504,1
503,1
684,1
363,1
507,1
490,1
506,1
